Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird3,1,base,1000_0.003,50.19040692,95,98.02105998,0.492174274,42.73469956,46.00637838,78.72490788,17.46325327,,article,1500_0.0035,50.1718638,95,98.18721276,0.492174274,41.18045541,45.48613808,78.72490788,19.0576467,,improve,500_0.004,50.91081594,95,98.07606397,0.492174274,50.26063537,49.8211364,82.62631536,18.66911867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird3,2,base,200_0.004,52.97212735,95,96.25807336,0.496711058,53.84073793,53.79386138,79.87311149,24.53787685,,article,1500_0.003,52.24515075,95,96.94578692,0.496711058,52.02018132,53.11873861,79.87311149,25.46961917,,improve,200_0.0035,50.15180266,95,98.24319167,0.496711058,49.40030029,49.47173424,82.80007553,24.66017934
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird3,3,base,1500_0.004,53.16152224,95,96.06789639,0.497205453,52.3048366,53.80316508,90.37440443,20.90335883,,article,1000_0.0035,54.46772085,95,95.9262509,0.497205453,53.01524773,55.09135836,90.37440443,22.78184365,,improve,500_0.0035,50.24667932,95,98.2709484,0.497205453,49.36139906,49.46327874,79.64071298,21.55657741
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird3,4,base,200_0.0035,52.36168037,95,96.12607911,0.497054094,50.98617331,52.82462842,79.51259065,18.94570382,,article,1000_0.0025,52.77896901,95,96.19406266,0.497054094,49.7074805,53.2156128,79.51259065,20.16654792,,improve,1500_0.001,51.32827324,95,97.99449773,0.497054094,50.68372406,50.3850856,82.10735774,19.02875833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird3,5,base,200_0.0005,51.40986717,95,97.09765761,0.494540127,49.11849041,50.66294878,79.0536859,23.58421803,,article,200_0.0025,51.74421252,95,97.30942029,0.494540127,49.98594139,51.44172746,79.0536859,25.04765921,,improve,500_0.002,50.55028463,95,98.34914611,0.494540127,49.84083045,49.66794062,84.59736323,24.78800447
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird3,6,base,1000_0.0035,52.23134092,95,96.0563569,0.497235483,52.99483028,53.83518709,80.56773591,23.90689102,,article,200_0.001,55.97133671,95,96.28480963,0.497235483,55.5476829,55.34477653,80.56773591,25.30598912,,improve,200_0.001,50.74003795,95,97.76316531,0.497235483,50.30483673,50.70218349,92.0263567,25.40190547
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird3,7,base,1000_0.003,50.78843559,95,97.34600011,0.493901615,48.92143791,49.59918904,96.33005357,24.24072261,,article,500_0.001,50.88747628,95,97.80202317,0.493901615,49.25409235,49.79832551,96.33005357,24.81332309,,improve,1500_0.004,51.08159393,95,98.17437915,0.493901615,50.11717178,50.26907924,98.17291474,25.09467654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird3,8,base,1500_0.0025,50.60846511,95,97.35141076,0.493887722,43.72788109,47.32854785,91.28116131,20.25634382,,article,200_0.003,50.71647691,95,97.66767561,0.493887722,44.33394898,47.90965929,91.28116131,21.16963908,,improve,200_0.001,50.15180266,95,98.25787408,0.493887722,49.11083826,49.27984508,97.7966156,21.28737566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird3,9,base,1500_0.004,53.58485136,95,96.75063316,0.495435131,54.723677,53.69975436,95.8421855,21.22763536,,article,1000_0.0035,52.63759224,95,96.89874429,0.495435131,53.42392157,53.26582853,95.8421855,21.89332073,,improve,1500_0.001,51.32827324,95,97.93533431,0.495435131,50.94011788,51.15655816,97.1762476,21.81394574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird3,10,base,200_0.0025,50.68183639,95,97.51233975,0.49347486,49.7435505,50.47951089,94.57434416,16.37061361,,article,500_0.0025,50.87687118,95,97.82698413,0.49347486,48.43394898,49.66381304,94.57434416,16.6176832,,improve,500_0.004,50.68311195,95,97.98256232,0.49347486,49.9259926,50.29505575,96.49779844,18.21537901
