Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR9,1,base,500_0.001,67.09444444,95,90.77868835,0.51136113,72.85622222,70.88106892,95.23372221,20.9194891,,article,500_0.003,68.54305556,95,91.7099452,0.51136113,74.70384167,73.28995495,95.23372221,21.40720652,,improve,500_0.001,50.775,95,98.33771777,0.51136113,50.3370375,50.06475506,103.3683648,22.36718138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR9,2,base,1500_0.004,63.98055556,95,91.80519392,0.50855117,69.35866667,67.34477522,96.30441427,21.56491279,,article,1500_0.004,65.975,95,92.32169792,0.50855117,71.60519722,70.35203321,96.30441427,21.46301316,,improve,200_0.002,50.8625,95,98.2291411,0.50855117,50.079675,49.92482399,102.2963471,21.53677373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR9,3,base,1000_0.002,66.3625,95,91.37120299,0.509735402,72.42065833,69.38457525,96.74339151,21.10074557,,article,1000_0.0005,68.94027778,95,91.78812117,0.509735402,75.45827222,72.63613749,96.74339151,22.09508132,,improve,1500_0.0015,50.2,95,98.17867647,0.509735402,49.51385625,49.82096735,100.7095659,21.75283833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR9,4,base,1000_0.001,66.35694444,95,90.78513758,0.511343379,72.76924167,69.92890922,99.52028561,21.65717362,,article,1000_0.003,68.81388889,95,91.36324473,0.511343379,75.39469722,73.04423311,99.52028561,22.55461415,,improve,500_0.0015,50.5375,95,98.18815274,0.511343379,49.86285625,50.10685097,99.6076026,21.72087605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR9,5,base,1500_0.0025,66.60555556,95,90.0341872,0.513418636,72.83948889,71.37615362,97.34994626,16.3554917,,article,500_0.004,69.35694444,95,90.29557899,0.513418636,75.89943333,74.64696516,97.34994626,17.95906891,,improve,200_0.003,50.1875,95,98.1945331,0.513418636,49.5746375,49.91658086,102.6908751,16.52953317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR9,6,base,200_0.001,65.46805556,95,91.91102806,0.508263215,71.30393056,68.53788629,94.36579227,22.15573558,,article,1500_0.0035,66.67083333,95,92.1701458,0.508263215,72.44318611,70.7025359,94.36579227,23.81126405,,improve,1500_0.004,50.6125,95,98.11104806,0.508263215,50.11103125,49.87855563,101.1669264,23.29881209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR9,7,base,500_0.0035,65.25416667,95,91.19574962,0.510215728,71.76600278,69.84899168,96.31233788,20.1483996,,article,1000_0.001,68.30416667,95,90.93179876,0.510215728,74.30793611,73.72457431,96.31233788,20.23160761,,improve,1000_0.0005,50.9625,95,98.18153942,0.510215728,50.26105625,50.18346143,100.9326086,20.27897174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR9,8,base,500_0.0005,67.17777778,95,91.20905419,0.510179274,73.264675,70.21543953,94.97788715,22.72949062,,article,1000_0.0005,68.89444444,95,91.12928854,0.510179274,75.05820278,72.97133337,94.97788715,24.36933291,,improve,200_0.0015,50.675,95,98.11372064,0.510179274,50.095025,49.84545444,101.1513042,23.18782849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR9,9,base,500_0.004,66.54444444,95,90.38737355,0.512440509,73.39056944,71.20731074,95.82261062,18.14446077,,article,200_0.0015,69.29861111,95,90.55184538,0.512440509,76.04065,74.14684935,95.82261062,19.8990829,,improve,1000_0.003,50.5125,95,97.8129694,0.512440509,49.893,50.02760237,102.1832228,19.45154014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR9,10,base,1000_0.003,65.68333333,95,90.37215995,0.512482565,72.15253056,69.72704533,94.8844161,19.93479839,,article,1000_0.0035,67.54027778,95,90.60010384,0.512482565,74.05865833,72.40116021,94.8844161,20.58438035,,improve,500_0.004,50.475,95,98.19837707,0.512482565,49.8277875,49.53651634,103.5826633,21.05483637
