Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR0,1,base,200_0.004,58.49444444,95,95.26849149,0.49929444,61.86997222,59.73535727,220.2875905,22.98392064,,article,1000_0.0035,60.27083333,95,95.93689928,0.49929444,63.81678056,61.04586997,220.2875905,24.09704345,,improve,1000_0.0025,50.2125,95,98.23521127,0.49929444,49.42715,49.2911995,206.0427575,23.22206009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR0,2,base,1000_0.0035,59.71805556,95,94.89366372,0.500279989,63.681125,60.76312546,279.2794819,16.72360233,,article,200_0.0035,61.03611111,95,95.47443718,0.500279989,64.89101944,61.51793942,279.2794819,18.34295745,,improve,200_0.0025,50.425,95,98.09412709,0.500279989,49.1514875,49.34083717,236.3965166,16.90157672
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR0,3,base,1000_0.004,53.72222222,95,96.66285573,0.495662029,55.17075,53.87536574,252.6516957,16.97911995,,article,1500_0.0025,54.73194444,95,97.08233151,0.495662029,56.38964167,54.58423286,252.6516957,17.84928901,,improve,500_0.004,50.5,95,98.23563459,0.495662029,49.92866875,49.6599301,257.3461244,18.29386285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR0,4,base,1000_0.0015,60.42361111,95,95.34262018,0.499099991,64.81068056,61.4054131,244.8142223,24.74739533,,article,1000_0.003,62.2,95,95.97920285,0.499099991,66.70885278,62.64730312,244.8142223,26.56811567,,improve,1000_0.0005,50.6,95,98.11755014,0.499099991,49.90206875,50.05719616,237.6457922,26.3797686
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR0,5,base,500_0.001,61.21944444,95,94.22691202,0.502042754,66.13334722,62.99334043,210.5613108,22.34826468,,article,1000_0.0015,63.61805556,95,95.21685258,0.502042754,68.00587778,64.23861816,210.5613108,22.90344492,,improve,200_0.004,50.7375,95,97.75056101,0.502042754,50.304675,50.5933827,208.8408871,23.95577368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR0,6,base,1000_0.0015,59.86944444,95,95.60065802,0.498424302,63.71920278,60.16035047,202.0393224,23.560015,,article,200_0.001,62.01111111,95,96.3987613,0.498424302,65.27155833,61.2222369,202.0393224,24.16068849,,improve,1500_0.001,50.275,95,97.98187135,0.498424302,49.73975,49.93128382,250.2601628,24.56840326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR0,7,base,200_0.0005,60.6,95,94.83123129,0.500444523,64.59438056,61.3913234,204.4480529,22.78424433,,article,200_0.0025,63.00833333,95,95.5269967,0.500444523,67.40689444,63.42917443,204.4480529,24.21820855,,improve,1000_0.0015,50.6,95,98.03906685,0.500444523,49.60495625,50.1190541,222.2222676,23.55921803
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR0,8,base,500_0.003,60.14444444,95,94.65959184,0.500897419,64.30719722,61.9818965,233.6642916,23.4238062,,article,500_0.0015,61.59027778,95,95.04899598,0.500897419,65.92681111,63.13651934,233.6642916,23.2477126,,improve,200_0.0005,50.85,95,98.26719208,0.500897419,50.06915,49.62818913,234.2169802,24.44785028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR0,9,base,1000_0.004,55.0375,95,95.67497853,0.498230029,57.25799444,56.46074052,230.843389,19.84559536,,article,1500_0.0025,56.99861111,95,95.7145137,0.498230029,59.54534167,58.3457454,230.843389,19.86217189,,improve,1500_0.004,50.7875,95,97.98389889,0.498230029,50.06836875,50.31038692,242.876894,20.04059074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR0,10,base,1000_0.003,60.54583333,95,94.88370714,0.500306221,64.51225,61.00616227,223.1264725,21.17329824,,article,200_0.0025,62.22361111,95,95.50889104,0.500306221,66.273225,62.31725478,223.1264725,22.17077282,,improve,1000_0.0005,50.825,95,98.04944877,0.500306221,50.36383125,50.23013772,213.3357575,21.43812262
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,62.60569,,,,,,,,,,,64.42360028,,,,,,,,,,,49.85601063,,,
