Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird6,1,base,500_0.0005,52.58093047,95,96.8911944,0.495072222,52.41810242,52.06945758,78.20413637,19.40648733,,article,500_0.004,53.13137355,95,97.0890213,0.495072222,52.9062074,52.74353007,78.20413637,20.81139089,,improve,1500_0.001,50.93941718,95,97.93793574,0.495072222,49.93022296,50.3174628,83.07278466,19.94995751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird6,2,base,1000_0.0035,59.4486878,95,93.05615179,0.505168265,61.13801125,62.33781846,83.97181845,16.60725376,,article,500_0.0025,59.24248466,95,94.28558614,0.505168265,63.10861452,63.41342849,83.97181845,18.22830474,,improve,200_0.0005,50.38343558,95,97.87824033,0.505168265,49.70568967,50.13170954,86.13295126,16.93152042
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird6,3,base,200_0.0005,62.30925358,95,91.36402887,0.509755024,66.93746592,66.32428285,84.12726498,17.58391124,,article,500_0.001,63.82522154,95,92.92576832,0.509755024,68.50151244,67.40043894,84.12726498,17.40500968,,improve,200_0.001,50.76687117,95,98.03895901,0.509755024,50.13730464,50.01926492,93.5807085,18.25432623
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird6,4,base,1500_0.0025,59.47271643,95,93.44901951,0.50411512,61.56845603,61.93155611,91.36644864,16.53819623,,article,1500_0.001,60.2509032,95,94.19550063,0.50411512,62.30646302,63.11450076,91.36644864,16.67363919,,improve,1500_0.0025,51.22699387,95,97.59823043,0.50411512,50.40537139,51.2047251,81.13038969,18.13512042
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird6,5,base,1500_0.0005,59.34896046,95,94.96620167,0.500088959,61.88971115,60.23702274,89.44390273,18.56842433,,article,1500_0.002,61.50981595,95,95.33487166,0.500088959,64.66489434,62.50546135,89.44390273,18.7309285,,improve,1000_0.0035,50.53680982,95,98.04676088,0.500088959,49.75467768,49.79224198,77.56521773,20.25657436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird6,6,base,1000_0.003,60.2146728,95,93.78807773,0.503209743,62.10429022,61.36940794,92.31247497,21.652775,,article,200_0.0035,57.20175528,95,94.75791526,0.503209743,60.21776159,60.01491479,92.31247497,21.89034829,,improve,1000_0.002,50.74769939,95,97.97114647,0.503209743,50.12449895,50.22320289,78.18810987,22.80364482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird6,7,base,1500_0.0035,59.94708589,95,93.18773997,0.504815032,63.54373296,63.16867388,93.62717438,22.91315536,,article,1000_0.0015,61.50393661,95,93.41546612,0.504815032,64.91087253,65.16355964,93.62717438,23.38407019,,improve,1000_0.0025,50.84355828,95,98.08459769,0.504815032,50.08342076,49.86789441,80.38708115,24.45014893
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird6,8,base,200_0.0015,59.52997614,95,93.28405802,0.50455679,63.01237219,63.04548347,81.22117019,17.23901947,,article,1500_0.0015,59.04730743,95,94.1012521,0.50455679,62.97067996,63.05417923,81.22117019,17.52551755,,improve,200_0.0005,50.88190184,95,97.66478601,0.50455679,49.99466307,50.73589684,76.74594641,17.77951343
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird6,9,base,1000_0.0015,59.70923654,95,92.47188669,0.506742646,63.4969879,64.13730418,97.49947762,23.80888402,,article,1000_0.0035,61.125,95,94.07244947,0.506742646,64.19898603,64.27364312,97.49947762,25.40795659,,improve,200_0.0005,50.44095092,95,98.1411944,0.506742646,49.24765469,49.20423962,96.94888353,25.49384643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird6,10,base,200_0.0015,62.01971711,95,92.93572466,0.505491972,66.28404908,64.52423332,93.61756134,23.62073353,,article,1500_0.001,62.55710634,95,94.22960183,0.505491972,66.58155675,64.62627164,93.61756134,23.9205948,,improve,1000_0.0015,50.19171779,95,98.32111763,0.505491972,49.19005114,48.99848939,97.53235173,25.17531627
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,62.23931791,,,,,,,,,,,63.03675486,,,,,,,,,,,49.8573555,,,
