Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR6,1,base,1500_0.0035,64.77638889,95,93.55127386,0.50384173,69.60028333,66.1779789,95.06798625,22.93550134,,article,1000_0.003,65.84305556,95,92.77028571,0.50384173,71.99255,69.26210668,95.06798625,24.58532484,,improve,1500_0.003,50.425,95,98.16124161,0.50384173,49.91985,49.98724192,102.2597961,23.0299925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR6,2,base,1000_0.003,63.575,95,93.33081422,0.504431526,68.92783611,66.16832073,97.10760188,20.55327441,,article,1000_0.002,65.12777778,95,92.38193986,0.504431526,71.15701111,69.36027647,97.10760188,20.35865529,,improve,500_0.0015,50.425,95,98.33122302,0.504431526,49.8711625,49.92732384,103.1114872,20.79654568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR6,3,base,200_0.0035,66.92361111,95,92.68957787,0.506154903,72.75171944,68.98944517,97.03064203,19.30651509,,article,1500_0.002,68.22083333,95,92.108483,0.506154903,74.91169167,72.01148383,97.03064203,20.17036925,,improve,500_0.0035,50.8125,95,97.88029151,0.506154903,50.44269375,50.82291877,102.5123172,19.6468177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR6,4,base,500_0.002,65.32361111,95,93.11640993,0.505006448,70.65446111,66.86850635,96.1877985,22.64541388,,article,1500_0.0035,66.99583333,95,92.5156457,0.505006448,72.79371667,69.74721855,96.1877985,22.63017028,,improve,200_0.001,50.525,95,98.323125,0.505006448,49.79231875,49.70739078,102.2380631,23.1284389
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR6,5,base,1000_0.0005,64.79166667,95,93.96416772,0.502740817,70.29841389,66.61339901,96.88384938,24.2741193,,article,1000_0.002,64.90277778,95,93.35685446,0.502740817,70.582175,67.69939325,96.88384938,25.38384903,,improve,200_0.0005,50.4625,95,98.25630178,0.502740817,49.83023125,49.67249414,102.1215811,24.38308622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR6,6,base,200_0.0035,64.5625,95,93.3254197,0.504445975,70.07919722,66.55373511,96.0073688,22.13382376,,article,1000_0.001,65.53888889,95,92.75592711,0.504445975,71.59515556,68.90836964,96.0073688,22.37035714,,improve,1500_0.002,50.75,95,97.88118781,0.504445975,50.68124375,51.00190738,100.9279087,22.31137049
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR6,7,base,500_0.004,66.05833333,95,92.84494794,0.505736252,72.12329722,68.86920694,97.28312778,17.3944614,,article,1000_0.002,65.95138889,95,91.98012638,0.505736252,72.58329167,70.20815744,97.28312778,18.64608477,,improve,1000_0.003,50.9625,95,98.08581907,0.505736252,50.51031875,50.91670012,102.0250659,17.76291377
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR6,8,base,500_0.0035,67.14861111,95,92.97871656,0.505376362,72.63604167,68.75453971,96.969414,24.94364814,,article,1500_0.001,68.35138889,95,92.17595794,0.505376362,74.68719722,72.1055499,96.969414,25.61197645,,improve,200_0.001,50.9375,95,98.02907051,0.505376362,50.69901875,50.88706985,101.6955378,26.55148742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR6,9,base,200_0.0025,65.8,95,91.66023799,0.508946099,71.88474722,69.49500092,97.20266867,20.33606375,,article,1000_0.0025,68.07222222,95,91.19962652,0.508946099,74.94458333,73.15981222,97.20266867,20.50089027,,improve,1000_0.0025,50.175,95,98.46720395,0.508946099,49.13166875,49.23448427,100.4076586,21.96744515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR6,10,base,500_0.0025,67.04583333,95,91.58175096,0.509160191,72.95306111,70.14025103,95.45534873,23.89647409,,article,1500_0.0005,68.17222222,95,91.1059574,0.509160191,75.26925278,72.92543924,95.45534873,24.83578091,,improve,200_0.004,50.4,95,98.3271767,0.509160191,49.63488125,49.58872101,100.9983153,25.62580534
