Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird9,1,base,500_0.0025,54.94955197,95,96.60119881,0.495821532,56.88478943,55.68401141,79.60183668,18.32610211,,article,200_0.003,53.17670251,95,96.73287546,0.495821532,54.14207736,54.24292677,79.60183668,19.67092568,,improve,200_0.0035,50.80645161,95,98.11088466,0.495821532,50.00045164,50.65023155,84.04264927,18.56445995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird9,2,base,500_0.0015,59.86989247,95,95.71732264,0.498119409,62.85178091,59.85965132,79.88443899,17.5149215,,article,500_0.0035,57.63508065,95,96.88978979,0.498119409,60.13429286,57.88529545,79.88443899,18.0548548,,improve,200_0.001,50.95766129,95,98.30189906,0.498119409,50.67597229,50.26579415,83.988976,19.01922514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird9,3,base,1500_0.0005,56.6562276,95,97.01123465,0.494762716,58.4806601,55.5393974,81.64507294,16.31944542,,article,500_0.0025,55.84283154,95,97.59252989,0.494762716,56.91057721,54.40516721,81.64507294,16.13703261,,improve,200_0.004,50.75604839,95,98.16301027,0.494762716,50.3703237,50.51901894,87.18086147,17.25161591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird9,4,base,500_0.0025,58.23221326,95,95.89735599,0.497649637,61.22492533,59.0498737,81.80385709,22.15386824,,article,1500_0.0035,56.29027778,95,96.77206065,0.497649637,58.83247088,57.37360972,81.80385709,22.4912427,,improve,500_0.003,50.35282258,95,98.42714054,0.497649637,49.37263566,49.29549428,88.85033584,23.60102026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird9,5,base,500_0.002,60.99193548,95,93.81111279,0.503148351,65.64009857,63.79535235,83.74987006,21.55332442,,article,200_0.002,59.71545699,95,94.9179669,0.503148351,64.07350284,62.85963138,83.74987006,21.69409717,,improve,1500_0.0015,51.05846774,95,98.52485105,0.503148351,50.4996965,50.17473982,88.07192373,23.32826632
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird9,6,base,500_0.003,56.65107527,95,95.7803204,0.497954924,58.06600956,56.68750202,87.48274279,20.67293313,,article,1500_0.003,53.87396953,95,96.44335307,0.497954924,55.44659872,55.43955039,87.48274279,21.99232498,,improve,500_0.0035,50.33602151,95,98.35950408,0.497954924,49.52805689,49.92424263,88.23690391,22.12751451
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird9,7,base,500_0.002,59.11836918,95,94.24780717,0.501987322,62.79898073,61.3877579,85.0969553,19.21745293,,article,200_0.0025,58.83225806,95,95.31706386,0.501987322,62.75221401,61.66597951,85.0969553,20.9246302,,improve,1500_0.0035,50.21841398,95,98.32290229,0.501987322,49.20409422,49.36447742,89.62349558,19.26858195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird9,8,base,500_0.0015,56.77379032,95,96.60675017,0.495807167,59.15120968,57.11658287,87.66517091,17.92361601,,article,1000_0.001,55.05551075,95,97.43216875,0.495807167,55.95539128,54.89415157,87.66517091,19.36958764,,improve,500_0.0025,50.90725806,95,98.17079143,0.495807167,50.5976576,50.35484012,89.50691986,19.62561519
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird9,9,base,200_0.004,58.59982079,95,96.2437929,0.496748148,60.64385454,58.18349991,85.82080698,19.94410534,,article,500_0.003,56.78427419,95,96.49307386,0.496748148,59.34150239,57.97635001,85.82080698,20.21689918,,improve,1000_0.0005,50.67204301,95,98.21130598,0.496748148,50.16241039,50.05391159,88.04652238,20.3274525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird9,10,base,1500_0.001,57.01747312,95,96.75225042,0.495430952,59.20090726,56.44137068,85.34077549,18.80547338,,article,1000_0.0025,55.30062724,95,97.75692972,0.495430952,56.46199597,54.64753572,85.34077549,18.94974015,,improve,1000_0.003,50.48723118,95,98.12391148,0.495430952,49.93654433,49.82094709,87.93377662,19.31389189
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,60.49432161,,,,,,,,,,,58.40506235,,,,,,,,,,,50.03478432,,,
