Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR3,1,base,1000_0.004,58.02638889,95,94.58486961,0.501094841,61.76194722,60.04708547,105.461092,18.98959791,,article,1000_0.0035,59.63194444,95,94.94388889,0.501094841,63.11683056,61.37477608,105.461092,18.97040879,,improve,1500_0.0005,50.2125,95,98.17151163,0.501094841,49.33423125,49.28478472,105.1626675,19.73464818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR3,2,base,1500_0.0025,60.31111111,95,94.38371072,0.501627092,63.77925,61.871735,97.24307919,16.93159583,,article,500_0.002,61.55,95,94.99575163,0.501627092,65.030975,63.02015061,97.24307919,17.04781928,,improve,1500_0.0035,50.35,95,98.29174791,0.501627092,49.68123125,49.65041557,118.7363877,16.98555542
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR3,3,base,500_0.0015,62.22361111,95,92.93721835,0.505487954,66.99535278,65.01057778,107.1538713,24.49948392,,article,500_0.0015,62.70694444,95,94.02964586,0.505487954,67.37115556,65.54036726,107.1538713,24.91260499,,improve,500_0.001,50.7375,95,97.77352572,0.505487954,50.13490625,50.68966287,132.2294052,26.21548526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR3,4,base,200_0.003,59.50416667,95,94.59138683,0.501077615,62.75671111,60.61385615,130.5809116,20.92778107,,article,500_0.002,60.48472222,95,95.30026576,0.501077615,64.08173056,61.87721425,130.5809116,21.57671803,,improve,1500_0.0015,50.4,95,98.34183381,0.501077615,49.92251875,49.92009277,101.5212357,21.56951697
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR3,5,base,1500_0.004,56.94166667,95,94.84482289,0.500408695,60.0867,59.19948579,105.5720656,16.51794548,,article,200_0.0005,57.54861111,95,95.25182848,0.500408695,61.09356944,60.31954199,105.5720656,17.40617568,,improve,1000_0.004,50.5125,95,98.10663408,0.500408695,50.10710625,49.89700155,108.4180806,16.54898696
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR3,6,base,200_0.001,61.30138889,95,93.80253503,0.50317121,65.77657778,63.15763647,101.0619781,17.87255307,,article,1000_0.0035,62.84027778,95,94.47929638,0.50317121,67.08970833,64.53553384,101.0619781,17.70650938,,improve,1500_0.0015,50.4875,95,97.92124138,0.50317121,49.71895,50.08313458,126.2878134,17.78751613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR3,7,base,1000_0.004,61.7625,95,93.33264659,0.504426618,66.77608611,64.54316182,119.1363862,17.85601919,,article,200_0.0035,62.96527778,95,94.0882016,0.504426618,67.58042778,65.65919319,119.1363862,19.06135242,,improve,1000_0.0035,50.9,95,98.06996528,0.504426618,50.59353125,50.33447637,120.2802727,19.13717318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR3,8,base,500_0.004,60.03055556,95,95.23379695,0.499385501,63.55980833,61.26934772,122.9701695,20.82964951,,article,1000_0.003,60.29861111,95,95.76819379,0.499385501,63.596225,61.7782808,122.9701695,22.27866382,,improve,1500_0.0035,51,95,98.11493056,0.499385501,50.5863,50.20724232,98.47795773,20.99788415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR3,9,base,1500_0.004,59.41805556,95,93.31649925,0.504469871,63.49775278,62.61378046,98.35684085,20.24039062,,article,1000_0.0025,60.91527778,95,94.17239023,0.504469871,64.85072222,63.78761688,98.35684085,21.45197112,,improve,500_0.001,50.3125,95,98.19697194,0.504469871,49.54496875,49.29980639,112.4088883,20.69821749
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR3,10,base,1000_0.0015,59.21666667,95,94.54275702,0.501206174,63.31997222,61.32020982,167.7499578,23.24994854,,article,1000_0.0025,60.04166667,95,95.32277778,0.501206174,64.13298056,62.53688595,167.7499578,24.61338695,,improve,200_0.0015,50.9125,95,98.02814286,0.501206174,50.1271375,50.15439606,141.4187438,24.22247686
