Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR1,1,base,1000_0.0035,65.33888889,95,91.03530496,0.51065576,70.96561111,69.38201117,211.7395241,18.77966831,,article,500_0.0025,68.075,95,91.51739691,0.51065576,74.21045,72.28807056,211.7395241,20.21811666,,improve,200_0.0015,50.4,95,98.01742424,0.51065576,49.45748125,49.90454284,229.2929568,19.93922361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR1,2,base,1500_0.001,65.24722222,95,90.38762549,0.512439812,70.70917222,69.51072419,238.7000439,20.45239557,,article,1000_0.0005,67.59583333,95,90.8536859,0.512439812,73.5793,72.08965667,238.7000439,20.85661656,,improve,1000_0.0025,50.4125,95,98.24919942,0.512439812,49.90550625,49.72263186,209.146203,21.28505438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR1,3,base,200_0.0005,61.55555556,95,91.731098,0.508752966,66.51238889,66.64421591,201.1649475,24.37899998,,article,1000_0.002,64.93888889,95,91.47957156,0.508752966,70.77917778,70.41892364,201.1649475,24.81450696,,improve,1500_0.0025,50.9875,95,97.89658516,0.508752966,50.514525,50.41363334,170.286788,24.95786182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR1,4,base,500_0.0035,65.03333333,95,89.51364437,0.514867073,71.25875278,69.60334795,149.569658,17.25034336,,article,200_0.004,68.35972222,95,90.08135998,0.514867073,75.04270833,72.87514379,149.569658,18.07391707,,improve,1500_0.004,50.475,95,98.19283414,0.514867073,50.1474,50.00311568,1050.721619,17.15812613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR1,5,base,1500_0.003,64.78333333,95,90.35016132,0.51254339,70.55328333,69.45584999,172.8587298,24.6287662,,article,1000_0.002,67.125,95,90.94658635,0.51254339,73.08221944,71.69217348,172.8587298,25.69363847,,improve,1500_0.003,50.325,95,98.00545685,0.51254339,49.81655625,49.95057302,110.3094683,26.15942133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR1,6,base,500_0.0005,66.44444444,95,88.29716399,0.518284069,72.54588611,71.83499536,127.1257925,22.35635066,,article,200_0.0035,69.11944444,95,89.4849062,0.518284069,75.66953889,74.41997882,127.1257925,22.19741868,,improve,1500_0.001,50.625,95,97.95326594,0.518284069,50.29931875,50.41320253,101.9645004,23.90856096
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR1,7,base,1000_0.0015,62.06944444,95,91.60059332,0.509108778,66.12190833,66.1012971,119.311707,24.26512379,,article,1500_0.0005,64.35416667,95,92.1967987,0.509108778,69.45231944,69.17513813,119.311707,24.75304992,,improve,1500_0.004,50.4875,95,97.99716667,0.509108778,49.7857125,49.63624402,103.3387868,25.17819197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR1,8,base,200_0.003,64.71388889,95,89.6111283,0.514595197,69.99189722,69.49196766,97.25687146,17.12865174,,article,1000_0.0025,67.44027778,95,90.12913725,0.514595197,73.24969167,72.69078184,97.25687146,17.15780985,,improve,200_0.004,50.7125,95,97.71937407,0.514595197,50.37849375,50.41849531,114.7714059,17.41553476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR1,9,base,500_0.001,65.02777778,95,89.09792055,0.516029729,69.97545278,69.62830621,97.25410581,16.51122215,,article,200_0.001,67.00416667,95,89.75706755,0.516029729,72.75038889,72.04418053,97.25410581,16.43592353,,improve,1000_0.0015,51.05,95,97.97518275,0.516029729,50.634825,50.62101608,120.4436498,16.9707483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR1,10,base,500_0.0005,65.60277778,95,89.11969102,0.515968713,71.35501111,70.26995067,108.2308276,17.23553095,,article,200_0.003,68.05972222,95,89.63690626,0.515968713,74.34150278,73.06258557,108.2308276,17.96676137,,improve,1500_0.0025,51.1875,95,98.03299689,0.515968713,50.34203125,50.03812303,133.2587306,18.05839575
