Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR7,1,base,1500_0.002,62.86666667,95,92.74374755,0.506008862,68.56668611,66.65049894,94.80568027,18.10774707,,article,1500_0.004,64.6125,95,92.77917037,0.506008862,70.48650833,68.65045148,94.80568027,18.6016333,,improve,1000_0.004,51,95,98.0072956,0.506008862,50.29523125,50.60900534,100.8594363,19.31796005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR7,2,base,1500_0.0015,60.15972222,95,95.97281702,0.497452996,63.36934444,60.04155077,98.2435236,17.52328571,,article,200_0.0025,58.23194444,95,96.32022133,0.497452996,61.79528333,59.72179884,98.2435236,18.93787665,,improve,500_0.0015,50.5625,95,98.08795369,0.497452996,50.24265,50.34445228,100.9062388,17.88059007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR7,3,base,1000_0.004,60.27638889,95,95.13424101,0.499646984,63.75082778,60.43866408,96.55008507,22.6514784,,article,1500_0.0035,60.7,95,95.01907838,0.499646984,65.13121667,62.53034275,96.55008507,22.99099733,,improve,200_0.0005,50.675,95,98.29958065,0.499646984,50.275625,50.35147082,100.6587319,24.12779041
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR7,4,base,1000_0.0025,60.42083333,95,94.15632882,0.50223009,65.27755556,63.31498788,93.94628263,23.29649803,,article,1500_0.002,61.74305556,95,93.79385382,0.50223009,67.396675,65.81706238,93.94628263,23.70223236,,improve,1000_0.0015,50.775,95,98.22798165,0.50223009,50.20248125,50.06335577,100.4133458,23.49564586
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR7,5,base,1500_0.0035,64.67361111,95,92.9792477,0.505374935,70.53061944,66.98590556,94.75908065,23.84926986,,article,1500_0.0025,67.02361111,95,92.75616789,0.505374935,73.24710556,69.91392013,94.75908065,24.10908353,,improve,500_0.004,51.675,95,98.10565513,0.505374935,50.96426875,50.40777934,101.1263084,25.41138297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR7,6,base,1500_0.0025,60.45416667,95,94.21885503,0.502064131,65.07383611,63.1069705,96.52798104,16.91619347,,article,200_0.0035,60.95138889,95,94.27133103,0.502064131,65.86535278,64.53670092,96.52798104,18.42304676,,improve,1000_0.001,51.125,95,98.11780645,0.502064131,50.41783125,50.11799089,101.4874065,17.55485802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR7,7,base,1000_0.001,62.01944444,95,94.44308983,0.501469861,66.6732,63.90655579,95.27876687,21.42546331,,article,200_0.0015,62.8625,95,94.69321459,0.501469861,67.83001111,65.43913842,95.27876687,21.68024439,,improve,1000_0.0035,50.375,95,98.11655496,0.501469861,49.84501875,50.21636755,101.8516378,21.9079494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR7,8,base,1000_0.0025,60.58333333,95,94.29492229,0.501862379,65.07277222,62.71012491,95.68874836,19.34674199,,article,1500_0.0035,60.92361111,95,94.69889295,0.501862379,65.59611944,64.03161102,95.68874836,19.40769813,,improve,1500_0.0015,50.7875,95,97.98359772,0.501862379,50.11536875,50.52797701,103.9173214,20.32128727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR7,9,base,200_0.0005,61.14722222,95,94.00347606,0.502636258,66.05419444,64.27800236,95.77882075,20.80627563,,article,200_0.0025,61.94722222,95,94.04760439,0.502636258,66.736925,65.66889394,95.77882075,22.21269548,,improve,500_0.0005,50.6125,95,97.9790891,0.502636258,50.24989375,50.25516019,102.7760224,21.68534015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR7,10,base,200_0.0015,63.91944444,95,92.00005458,0.508021242,69.68132222,67.83616047,96.75720906,22.44971924,,article,200_0.0015,65.68333333,95,92.40972359,0.508021242,71.60899167,69.76079797,96.75720906,23.64325398,,improve,200_0.0035,50.5,95,98.21136084,0.508021242,50.26204375,49.91802388,102.489059,24.0414202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,66.40503583,,,,,,,,,,,67.56941889,,,,,,,,,,,50.28704125,,,
