Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR5,1,base,500_0.001,68.31805556,95,88.67479298,0.517218495,75.51232778,74.26331371,107.1760805,17.11034072,,article,200_0.0035,72.24583333,95,89.09160432,0.517218495,79.78681944,78.04583614,107.1760805,18.10859576,,improve,1000_0.0025,50.45,95,98.09972561,0.517218495,49.90394375,50.16316962,137.7992594,17.36965025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR5,2,base,200_0.003,65.42916667,95,91.49713703,0.509391198,70.48486389,69.3792657,100.6204808,16.43207511,,article,1500_0.0035,68.48055556,95,91.09760485,0.509391198,74.96461389,72.78895394,100.6204808,18.25064473,,improve,200_0.0005,50.4375,95,98.44449566,0.509391198,50.00445625,50.02767205,105.5561128,16.2435285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR5,3,base,1000_0.0025,67.36666667,95,88.60842148,0.517405461,73.81075,73.6608051,96.61233878,18.81489063,,article,500_0.003,71.73333333,95,88.02543907,0.517405461,78.91494167,78.04306975,96.61233878,19.24990713,,improve,1500_0.0025,50.9625,95,98.33363061,0.517405461,50.383775,50.11040301,99.59897852,18.83856027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR5,4,base,200_0.002,66.85416667,95,89.93802499,0.513685598,73.16129722,72.62509947,95.45155382,18.31551277,,article,1500_0.004,70.42916667,95,88.82765671,0.513685598,77.96365,76.43731579,95.45155382,19.75636663,,improve,200_0.001,51.2,95,98.08833955,0.513685598,50.0987375,50.23610614,97.01220584,18.77651339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR5,5,base,1500_0.001,67.48194444,95,90.16365168,0.513059659,73.41425833,72.76083045,94.45157123,22.87125058,,article,1500_0.003,72.12777778,95,89.62761003,0.513059659,79.45039167,77.70070178,94.45157123,23.24849836,,improve,1000_0.0035,50.9375,95,98.1607599,0.513059659,50.2337875,50.31666352,96.39579511,23.0797954
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR5,6,base,1000_0.0015,67.20833333,95,89.65864858,0.514462771,73.93943333,72.88171584,93.73004723,21.15706109,,article,1500_0.0005,73.59583333,95,88.46612466,0.514462771,80.72972778,78.94764595,93.73004723,22.41982493,,improve,500_0.0035,50.65,95,98.25975259,0.514462771,50.08308125,49.99126097,96.61274052,22.41827795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR5,7,base,500_0.002,68.43333333,95,89.32329065,0.515398785,74.01629722,73.09693538,94.42538333,18.33402312,,article,1000_0.004,72.31388889,95,88.71029051,0.515398785,79.48744444,78.0894803,94.42538333,18.49064865,,improve,200_0.0025,50.7875,95,97.98599448,0.515398785,50.42568125,50.85614069,102.1983995,19.40532823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR5,8,base,1500_0.0035,66.88472222,95,89.15563133,0.515868015,72.61753611,71.99178142,94.34141874,17.94864416,,article,1500_0.002,69.86527778,95,89.48890709,0.515868015,77.13806389,75.88949829,94.34141874,17.86652314,,improve,500_0.0035,50.6,95,98.10253317,0.515868015,50.05750625,50.33467839,100.5529356,18.96859634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR5,9,base,1000_0.0005,68.13333333,95,89.93755068,0.513686916,74.68986667,72.93968678,96.52187729,23.54104746,,article,500_0.0015,72.17916667,95,89.57003311,0.513686916,79.07290556,77.10932728,96.52187729,24.04393223,,improve,200_0.0025,51.0125,95,98.03230975,0.513686916,50.5501,50.47278077,102.2726598,24.47456886
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIFAR5,10,base,1000_0.001,68.06527778,95,89.21971227,0.51568857,74.17273333,73.20519328,94.39727688,24.64530956,,article,200_0.001,72.12083333,95,88.4513711,0.51568857,78.51630278,77.44060321,94.39727688,24.45084046,,improve,200_0.0015,50.75,95,98.21532073,0.51568857,50.11334375,50.21980989,101.9643662,25.60595846
