Dataset Name,Cross Validation [1-10],Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme,,Algorithm Name,best temperature_magnitude,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training TIme,Inference TIme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird10,1,base,1500_0.0015,54.3981302,95,96.37182768,0.496415806,56.30084897,55.21325124,95.60275865,21.84825911,,article,200_0.003,55.16714292,95,96.43842864,0.496415806,57.13990972,56.14766588,95.60275865,22.93774049,,improve,500_0.0005,50.74543422,95,98.10658653,0.496415806,50.29743047,50.29996068,100.1528981,23.54964749
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird10,2,base,200_0.003,62.99566199,95,92.93128073,0.505503925,67.08544747,64.98856924,104.1263742,22.10532239,,article,200_0.0035,64.71731271,95,93.44220355,0.505503925,68.71403901,66.45126187,104.1263742,22.75809499,,improve,1000_0.003,50.67089079,95,97.94437693,0.505503925,49.99431131,50.0948048,102.304368,23.6009276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird10,3,base,1500_0.0035,62.48423407,95,91.95980567,0.508130609,66.88208887,65.17191269,101.6773722,19.69348222,,article,500_0.003,66.82850043,95,92.59424404,0.508130609,70.86587154,68.53314551,101.6773722,20.02573864,,improve,1000_0.001,50.96906448,95,98.16900632,0.508130609,49.99965965,49.62085658,128.8534961,21.14404545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird10,4,base,1000_0.0015,59.16039052,95,93.99915861,0.50264774,63.35803619,62.19111384,120.7859361,23.4603793,,article,1000_0.0025,62.79943678,95,93.56658037,0.50264774,67.22400298,65.98345077,120.7859361,24.0178099,,improve,500_0.004,50.91315691,95,98.0325896,0.50264774,50.38330961,49.93972335,110.6462471,23.95608764
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird10,5,base,1500_0.0025,59.93509546,95,94.62722118,0.500982925,62.62659958,60.09115824,103.8639665,22.32311228,,article,1000_0.0015,62.16873525,95,94.89023297,0.500982925,65.21938129,62.46182148,103.8639665,22.97525153,,improve,500_0.001,50.3354454,95,98.19164387,0.500982925,49.36220643,49.81250423,102.9595695,23.16120044
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird10,6,base,1000_0.004,59.42393879,95,94.80681212,0.500508907,61.95679795,59.71223035,100.8702552,23.46342151,,article,1500_0.001,61.59936017,95,94.81437908,0.500508907,64.67205036,61.94094319,100.8702552,23.35946973,,improve,1000_0.004,50.89452106,95,97.94242073,0.500508907,50.16812556,49.66324035,117.886637,24.83530166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird10,7,base,1500_0.0005,56.14977223,95,95.56584257,0.498515362,57.53658425,55.91883868,73.31268716,23.1726419,,article,1000_0.002,57.55484325,95,96.20425195,0.498515362,58.96630637,56.7734374,73.31268716,23.66497214,,improve,500_0.0005,50.24226612,95,98.26336449,0.498515362,48.77180475,49.00002785,78.5813334,24.11013558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird10,8,base,1500_0.003,66.14645298,95,91.0256319,0.510682313,71.29279828,68.69185127,76.19284058,21.9465006,,article,500_0.0015,68.66199735,95,91.13552799,0.510682313,73.18640825,70.85012229,76.19284058,22.77916565,,improve,200_0.004,50.76407007,95,98.03279342,0.510682313,50.05565751,50.21538404,84.94682884,23.74667395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird10,9,base,1500_0.003,57.17165486,95,94.57421929,0.501122992,59.78998219,59.33575918,78.43785048,17.58701915,,article,1500_0.0035,59.52555183,95,95.10202492,0.501122992,62.71308651,61.95686326,78.43785048,18.84997783,,improve,1500_0.001,50.63361908,95,97.94433487,0.501122992,49.75713653,49.82682108,82.5502789,18.83111849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird10,10,base,1000_0.0025,58.32724562,95,93.55437614,0.50383344,61.49418975,60.14210011,79.94774818,20.18742824,,article,1500_0.001,63.45682901,95,94.1590918,0.50383344,66.81599785,63.82684453,79.94774818,21.65204349,,improve,1000_0.001,50.74543422,95,98.20995826,0.50383344,49.67852281,49.65120199,82.54537797,19.9934349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,62.83233735,,,,,,,,,,,65.55170539,,,,,,,,,,,49.84681646,,,
